Example SIR
N= 1000
b= 1e-04
y= 0.05
dt= 1
maxReps= 1000
T,S,I,R
1,999,1,0
2,998.9001,1.0499,0.05
3,998.795225478501,1.102279521499,0.102495
4,998.685130326179,1.15726069774564,0.15760897607495
5,998.569556421104,1.21497156793331,0.215472010962232
6,998.448233059139,1.27554635150218,0.276220589358898
7,998.320876359055,1.33912573401131,0.339997906934007
8,998.187188641421,1.40585716494406,0.406954193634572
9,998.046857780311,1.47589516780755,0.477247051881776
10,997.899556526846,1.54940166288152,0.551041810272153
11,997.744941803619,1.62654630296459,0.628511893416229
12,997.58265396898,1.70750682245559,0.709839208564458
13,997.412316050218,1.79246940009435,0.795214549687238
14,997.233532944639,1.88162903566935,0.884838019691955
15,997.045890587546,1.97518994097906,0.978919471475423
16,996.848955086167,2.07336594530841,1.07767896852438
17,996.642271818558,2.17638091565218,1.1813472657898
18,996.425364496546,2.28446919188139,1.29016631157241
19,996.197734191826,2.39787603700747,1.40438977116648
20,995.958858324332,2.51685810265107,1.52428357301685
21,995.708189612084,2.64168390976659,1.6501264781494
22,995.445154981752,2.77263434461037,1.78221067363773
23,995.169154439264,2.91000316986769,1.92084239086825
24,994.879559899867,3.05409755077158,2.06634254936163
25,994.575713977147,3.20523859595329,2.21904742690021
26,994.256928730643,3.36376191265936,2.37930935669788
27,993.922484371817,3.53001817585258,2.54749745233085
28,993.571627928295,3.70437371058206,2.72399836112348
29,993.203571866487,3.88721108686073,2.90921704665258
30,992.81749267288,4.0789297261246,3.10357760099561
31,992.412529394532,4.27994651816636,3.30752408730184
32,991.987782139555,4.49069644723473,3.52152141321016
33,991.54231053866,4.71163322576843,3.7460562355719
34,991.075132169151,4.94322993398892,3.98163789686032
35,990.585220943134,5.18597966330653,4.22879939355977
36,990.071505462076,5.44039616119951,4.48809837672509
37,989.532867340313,5.70701447490243,4.76011818478507
38,988.968139500582,5.98639159088759,5.04546890853019
39,988.376104445186,6.27910706673942,5.34478848807457
40,987.755492506984,6.58576365160426,5.65874384141154
41,987.104980085062,6.90698789094655,5.98803202399175
42,986.423187870608,7.24343071085327,6.33338141853908
43,985.708679069316,7.59576797660258,6.69555295408175
44,984.959957627442,7.96470101964585,7.07534135291187
45,984.17546646956,8.35095712654612,7.47357640389417
46,983.353585757011,8.7552899827674,7.89112426022147
47,982.492631177122,9.1784800635187,8.32888875935984
48,981.59085227434,9.62133496312409,8.78781276253578
49,980.646430835693,10.0846896536149,9.26887951069198
50,979.657479344203,10.5694066624244,9.77311399337273
51,978.622039515296,11.0763761582107,10.3015843264939
52,977.538080932657,11.6065159329388,10.8554031344045
53,976.403499801517,12.1607712674318,11.4357289310514
54,975.216117838936,12.7401146666408,12.043767494423
55,973.973681322334,13.3455454499112,12.6807732277551
56,972.673860319223,13.9780891805261,13.3480505002506
57,971.314248122913,14.6387969178107,14.0469549592769
58,969.892360920748,15.3287442740849,14.7788948051675
59,968.405637723354,16.0490302577749,15.5453320188717
60,966.851440585191,16.8007758830483,16.3477835317604
61,965.227055148644,17.5851225254433,17.1878223259129
62,963.529691545678,18.4032300021373,18.067078452185
63,961.756485692937,19.2562743547708,18.9872399522919
64,959.904501017839,20.1454453121306,19.9500536700304
65,957.970730654827,21.0719434095364,20.957325935637
66,955.952100152392,22.0369767414947,22.0109231061138
67,953.845470732688,23.041757324124,23.1127719431885
68,951.647643146554,24.0874970440516,24.2648598093947
69,949.355362167427,25.1754031709761,25.4692346615973
70,946.965321767917,26.3066734119366,26.7280048201461
71,944.4741710227,27.4824904865576,28.0433384907429
72,941.878520780706,28.7040162042228,29.4174630150708
73,939.174951148417,29.9723850263015,30.852663825282
74,936.360019824129,31.2886970992743,32.351283076597
75,933.430271320514,32.6540107479253,33.9157179315608
76,930.3822471093,34.069334421743,35.548418468957
77,927.212496717618,35.5356180923378,37.2518851900442
78,923.917589800238,37.0537441051009,39.0286660946611
79,920.494129205572,38.6245174945118,40.8813532999161
80,916.938765045863,40.2486557794958,42.8125791746417
81,913.248209773342,41.9267782630417,44.8250119636165
82,909.419254254313,43.6593948689183,46.9213508767686
83,905.448784822025,45.446894557761,49.1043206202145
84,901.333801276899,47.2895333749989,51.3766653481025
85,897.071435789149,49.1874221939988,53.7411420168525
86,892.658972644115,51.1405142293327,56.2005131265524
87,888.09386875487,53.1485924071108,58.7575388380191
88,883.3737748499,55.2112566917259,61.4149684583746
89,878.496557226102,57.3279114809373,64.1755312929609
90,873.460319939205,59.4977531937871,67.0419268670078
91,868.263427285174,61.7197581881286,70.0168145266971
92,862.904526407611,63.9926711562859,73.1028024361036
93,857.382569847843,66.3149941582389,76.3024359939179
94,851.69683783676,68.6849764614105,79.6181857018298
95,845.846960110852,71.1006053642475,83.0524345249003
96,839.832937019913,73.5595981869742,86.6074647931127
97,833.655159680776,76.0593956167626,90.2854447024614
98,827.314428920965,78.597156595736,94.0884144832995
99,820.811972748583,81.1697549383305,98.0182723130863
100,814.149462080738,83.773777859259,102.076760060003
101,807.32902446268,86.4055265843547,106.265448952966
102,800.353255514127,89.0610192036901,110.585725282184
103,793.225227848219,91.7359959094136,115.038776242368
104,785.948497222506,94.4259267396557,119.625576037839
105,778.527105700518,97.1260219246604,124.346872374822
106,770.965581626797,99.8312449021485,129.203173471055
107,763.268936247746,102.536328036092,134.194735716162
108,755.44265684506,105.235791036973,139.321552117967
109,747.492696287444,107.923962042741,144.583341669815
110,739.425458949309,110.595001278739,149.979539771952
111,731.247782991506,113.242927172605,155.509289835889
112,722.966919048062,115.861644757419,161.17143619452
113,714.590505413451,118.444976154159,166.96451843239
114,706.126539876082,120.98669288382,172.886767240098
115,697.583348394372,123.480549721339,178.936101884289
116,688.969550860753,125.920319768891,185.110129370356
117,680.294024245212,128.299830395988,191.406145358801
118,671.565863452205,130.612999669195,197.8211368786
119,662.794340262113,132.853872875828,204.35178686206
120,653.988860759713,135.016658734436,210.994480505851
121,645.158921676781,137.095764880646,217.745313442573
122,636.314066093096,139.085832220299,224.600101686605
123,627.463838949492,140.981767752888,231.55439329762
124,618.617742827881,142.778775486855,238.603481685265
125,609.78519444634,144.472385094053,245.742420459608
126,600.975482302669,146.058477983021,252.96603971431
127,592.197725877645,147.533310508894,260.268963613461
128,583.460836780189,148.893534080906,267.645629138906
129,574.773482181588,150.136211975461,275.090305842951
130,566.144050845719,151.258832712557,282.597116441724
131,557.580622017911,152.259319904737,290.160058077352
132,549.090937387861,153.136038539551,297.773024072589
133,540.682376292906,153.887797707528,305.429825999566
134,532.361934278207,154.51384983685,313.124215884943
135,524.136205081015,155.0138865422,320.849908376785
136,516.011366058307,155.388031237798,328.600602703895
137,507.993167031494,155.636828702721,336.370004265785
138,500.086922479551,155.761231819528,344.151845700921
139,492.297506973325,155.762585734777,351.939907291898
140,484.62935370963,155.642609711733,359.728036578637
141,477.086455974203,155.403376961574,367.510167064223
142,469.672371338101,155.047292749598,375.280335912302
143,462.390228372575,154.577071077643,383.032700549782
144,455.242735652899,153.995710243437,390.761554103664
145,448.232192811896,153.306467572268,398.461339615836
146,441.36050339868,152.512833606871,406.126662994449
147,434.629189297131,151.618506028076,413.752304674793
148,428.039406461388,150.627363562415,421.333229976197
149,421.591961731778,149.543440113904,428.864598154317
150,415.287330503605,148.370899336383,436.341770160013
151,409.125675032622,147.114009840547,443.760315126832
152,403.106863174345,145.777121206796,451.116015618859
153,397.230487369119,144.364640951682,458.404871679199
154,391.495883700709,142.881012572508,465.623103726783
155,385.902150872596,141.330694771996,472.767154355408
156,380.448168962913,139.718141943079,479.833689094008
157,375.132617835599,138.04778597324,486.819596191162
158,369.953995101744,136.324019408433,493.721985489824
159,364.910633540896,134.551179998859,500.538186460246
160,360.00071790719,132.733536632622,507.265745460189
161,355.22230105938,130.875276648801,513.90242229182
162,350.573319367083,128.980494508658,520.44618612426
163,346.051607357732,127.053181792576,526.895210849693
164,341.654911579808,125.097218480871,533.247869939322
165,337.380903667912,123.116365468723,539.502730863365
166,333.227192604097,121.114258259102,545.658549136801
167,329.191336177697,119.094401772547,551.714262049756
168,325.270851652618,117.060166208999,557.668982138384
169,321.463225656878,115.014783894289,563.521990448834
170,317.765923313989,112.961347042463,569.272729643548
171,314.176396639815,110.902806364514,574.920796995671
172,310.692092231731,108.841970454373,580.465937313897
173,307.310458279421,106.781505883963,585.908035836615
174,304.028950928525,104.723937940662,591.247111130814
175,300.845040029604,102.671651942549,596.483308027847
176,297.756214305748,100.626895069278,601.616890624974
177,294.759985972431,98.5917786491311,606.648235378438
178,291.85389484327,96.5682808458361,611.577824310895
179,289.035511954952,94.5582496918618,616.406238353186
180,286.302442744027,92.5634064181939,621.13415083778
181,283.652329807403,90.5853490339079,625.762321158689
182,281.082855277415,88.625556112201,630.291588610385
183,278.591742841158,86.6853907428476,634.722866415995
184,276.176759432566,84.7661046142969,639.057135953137
185,273.835716624356,82.8688421917919,643.295441183852
186,271.566471745614,80.9946449609443,647.438883293442
187,269.366928749381,79.1444557091303,651.488615541489
188,267.23503885319,77.3191228198648,655.445838326945
189,265.168800974104,75.5194045579576,659.311794467939
190,263.166261978413,73.745973325751,663.087764695837
191,261.225516764803,71.9994198730732,666.775063362124
192,259.344708198492,70.2802574457305,670.375034355778
193,257.522026912554,68.5889258593817,673.889047228064
194,255.755710991448,66.9257954875189,677.318493521033
195,254.04404555059,65.2911711540009,680.664783295409
196,252.38536222472,63.6852959221707,683.929341853109
197,250.77803857675,62.1083547740327,687.113606649218
198,249.220497437804,60.5604781742771,690.219024387919
199,247.711206188237,59.0417455151297,693.247048296633
200,246.248675988536,57.5521884390744,696.19913557239
201,244.8314609682,56.0917940374572,699.076744994344
202,243.458157379948,54.6605079238361,701.881334696216
203,242.127402725889,53.2582371817032,704.614360092408
204,240.837874861632,51.8848531868746,707.277271951493
205,239.588291083729,50.5401943054343,709.871514610837
206,238.377407205261,49.2240684686305,712.398524326109
207,237.204016623896,47.9362556265636,714.85972774954
208,236.066949386243,46.6765100828885,717.256540530869
209,234.965071251917,45.4445627130704,719.590366035013
210,233.897282760328,44.2401230690058,721.862594170667
211,232.862518302846,43.0628813730378,724.074600324117
212,231.859745202656,41.9125104045761,726.227744392769
213,230.887962804335,40.7886672826682,728.323369912997
214,229.946201574895,39.6909951479747,730.362803277131
215,229.033522217794,38.6191247476764,732.34735303453
216,228.149014801202,37.5726759268854,734.278309271913
217,227.291797901585,36.5512590301575,736.156943068258
218,226.461017763532,35.5544762167028,737.984506019766
219,225.655847476524,34.581922692876,739.762229830601
220,224.875486169261,33.6331878654951,741.491325965245
221,224.119158221993,32.7078564194878,743.172985358519
222,223.386112497195,31.8055093233116,744.808378179494
223,222.675621588822,30.9257247655188,746.398653645659
224,221.986981090298,30.0680790257675,747.944939883935
225,221.319508881286,29.2321472834906,749.448343835224
226,220.672544433253,28.4175043673488,750.909951199398
227,220.045448133735,27.6237254485,752.330826417766
228,219.437600629191,26.8503866806188,753.712012690191
229,218.848402186275,26.097065789504,755.054532024222
230,218.277272071297,25.3633426150071,756.359385313697
231,217.723647947635,24.6487996079181,757.627552444447
232,217.186985290819,23.9530222843388,758.859992424843
233,216.666756820965,23.2755996399758,760.05764353906
234,216.162451952259,22.6161245266827,761.221423521059
235,215.673576259125,21.9741939934831,762.352229747393
236,215.199650958726,21.3494095942075,763.450939447067
237,214.740212409441,20.741377663782,764.518409926777
238,214.294811624923,20.1497095651114,765.555478809967
239,213.863013803367,19.5740219084111,766.562964288222
240,213.444397871609,19.0139367447491,767.541665383643
241,213.038556043644,18.4690817354768,768.49236222088
242,212.645093393206,17.9390902991408,769.415816307654
243,212.263627440001,17.4236017373888,770.312770822611
